Follower Athlete ID,Follow Status,Created At
50457070,Accepted,"Jan 28, 2023, 3:18:27 PM"
115166483,Accepted,"Mar 16, 2023, 4:43:19 PM"
29111891,Accepted,"May 22, 2023, 10:32:44 PM"
82046807,Accepted,"Jul 1, 2023, 7:08:50 PM"
112066642,Accepted,"Jul 3, 2023, 4:57:53 PM"
112218654,Accepted,"Jul 10, 2023, 1:13:12 PM"
59993670,Accepted,"Aug 2, 2023, 12:36:26 AM"
53386777,Accepted,"Sep 15, 2023, 12:03:30 PM"
105182280,Accepted,"Oct 3, 2023, 12:24:16 AM"
24910628,Accepted,"Oct 29, 2023, 1:05:04 PM"
121705752,Accepted,"Nov 4, 2023, 9:51:00 PM"
110101366,Accepted,"Nov 16, 2023, 11:25:30 AM"
22735708,Accepted,"Nov 21, 2023, 11:27:54 AM"
125013687,Accepted,"Nov 27, 2023, 11:45:15 AM"
74671028,Accepted,"Dec 31, 2023, 1:25:57 AM"
51642940,Accepted,"Jan 13, 2024, 5:13:07 PM"
26643193,Accepted,"Jan 15, 2024, 10:55:52 PM"
131962277,Accepted,"Feb 19, 2024, 9:51:50 PM"
128363664,Accepted,"Mar 3, 2024, 2:07:26 PM"
80666655,Accepted,"Mar 9, 2024, 3:20:40 PM"
131726738,Accepted,"Mar 13, 2024, 9:21:01 PM"
134609410,Accepted,"Apr 5, 2024, 4:28:56 PM"
78989264,Accepted,"Apr 16, 2024, 4:42:04 PM"
48313616,Accepted,"Apr 29, 2024, 12:26:18 PM"
19076500,Accepted,"Apr 30, 2024, 9:56:39 PM"
52550470,Accepted,"May 26, 2024, 6:44:05 PM"
12724860,Accepted,"Jun 14, 2024, 11:36:52 AM"
106126383,Accepted,"Jun 17, 2024, 11:22:50 PM"
133241354,Accepted,"Jun 25, 2024, 10:59:16 PM"
125245593,Accepted,"Jul 17, 2024, 2:20:17 AM"
127707793,Accepted,"Jul 19, 2024, 1:21:46 PM"
108752546,Accepted,"Jul 21, 2024, 8:10:37 PM"
11744497,Accepted,"Jul 26, 2024, 9:52:25 AM"
20453555,Accepted,"Jul 27, 2024, 4:19:56 PM"
10244041,Accepted,"Aug 19, 2024, 1:33:04 AM"
146866191,Accepted,"Sep 10, 2024, 2:14:36 AM"
91331689,Accepted,"Sep 17, 2024, 4:18:55 PM"
