Following Athlete ID,Follow Status,Created At
90425661,Accepted,"Dec 18, 2022, 11:48:17 PM"
52984082,Accepted,"Dec 18, 2022, 11:48:20 PM"
22714068,Accepted,"Feb 22, 2023, 2:33:40 PM"
115166483,Accepted,"Mar 17, 2023, 4:45:35 PM"
50457070,Accepted,"Apr 29, 2023, 12:36:09 AM"
82046807,Accepted,"May 17, 2023, 1:06:17 AM"
29111891,Accepted,"May 22, 2023, 10:32:30 PM"
53386777,Accepted,"Jun 5, 2023, 1:32:21 AM"
32430766,Accepted,"Jun 5, 2023, 1:32:55 AM"
112066642,Accepted,"Jul 3, 2023, 3:39:11 PM"
99393544,Accepted,"Jul 3, 2023, 3:39:24 PM"
112218654,Accepted,"Jul 11, 2023, 9:46:22 PM"
20453555,Accepted,"Jul 29, 2023, 1:57:16 AM"
59993670,Accepted,"Jul 30, 2023, 6:24:35 PM"
105182280,Accepted,"Oct 3, 2023, 12:24:31 AM"
74671028,Accepted,"Oct 9, 2023, 7:12:04 PM"
56504325,Accepted,"Oct 11, 2023, 12:11:30 AM"
24910628,Accepted,"Oct 29, 2023, 12:52:41 PM"
121705752,Accepted,"Nov 4, 2023, 9:52:03 PM"
110101366,Accepted,"Nov 16, 2023, 11:25:03 AM"
125013687,Accepted,"Nov 27, 2023, 9:28:18 AM"
51642940,Accepted,"Jan 13, 2024, 4:10:20 PM"
128363664,Accepted,"Feb 15, 2024, 12:45:58 PM"
124067221,Accepted,"Feb 15, 2024, 12:46:05 PM"
129254582,Accepted,"Feb 15, 2024, 12:46:15 PM"
125562744,Accepted,"Feb 15, 2024, 12:46:17 PM"
102336034,Accepted,"Feb 15, 2024, 12:46:24 PM"
116344758,Accepted,"Feb 15, 2024, 12:46:33 PM"
5599536,Accepted,"Feb 15, 2024, 12:46:36 PM"
45813555,Accepted,"Feb 15, 2024, 12:46:43 PM"
97655261,Accepted,"Feb 15, 2024, 12:46:43 PM"
131962277,Accepted,"Feb 19, 2024, 9:07:28 PM"
80666655,Accepted,"Mar 9, 2024, 3:20:50 PM"
48313616,Accepted,"Apr 13, 2024, 5:17:52 PM"
78989264,Accepted,"Apr 16, 2024, 4:42:42 PM"
135424820,Accepted,"Apr 16, 2024, 11:17:52 PM"
56345305,Accepted,"Apr 21, 2024, 10:15:04 PM"
19076500,Accepted,"Apr 30, 2024, 9:33:13 PM"
102113607,Pending,"Apr 30, 2024, 9:59:57 PM"
88705586,Accepted,"Apr 30, 2024, 10:00:02 PM"
28737982,Accepted,"May 18, 2024, 3:09:55 PM"
127707793,Accepted,"May 26, 2024, 3:32:58 PM"
52550470,Accepted,"May 26, 2024, 3:33:10 PM"
95919245,Accepted,"Jun 14, 2024, 9:58:19 AM"
12724860,Accepted,"Jun 14, 2024, 11:59:59 AM"
6983909,Accepted,"Jun 15, 2024, 10:06:15 PM"
106126383,Accepted,"Jun 18, 2024, 12:58:28 AM"
15531187,Accepted,"Jun 24, 2024, 4:53:27 PM"
133241354,Accepted,"Jun 25, 2024, 11:00:31 PM"
125245593,Accepted,"Jul 17, 2024, 1:34:39 AM"
108752546,Accepted,"Jul 22, 2024, 12:03:46 AM"
30072212,Accepted,"Jul 26, 2024, 12:18:35 AM"
11744497,Accepted,"Jul 26, 2024, 9:52:57 AM"
50749552,Accepted,"Aug 12, 2024, 9:08:01 PM"
47231766,Accepted,"Aug 25, 2024, 9:40:03 PM"
146866191,Accepted,"Sep 10, 2024, 2:15:46 AM"
91331689,Accepted,"Sep 17, 2024, 4:18:57 PM"
